"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"54e5fc8f-7f1d-4a4f-bf96-90c63383510a","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ῥώμης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::71;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::76","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","-0750/2100","41.89262","12.4843457","settlement,urban","VERIFIED","πόλις","","",""
"23404b5f-2e2f-43e2-b84c-738281d03c6e","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Τυρρηνίαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::18;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::27","PLACE","http://pleiades.stoa.org/places/413122","Etruria/Tuscia","-0750/0640","42.42102874792005","11.752744124826158","region","VERIFIED","","","",""
"46ee682a-c16b-4e17-8497-ec1769ba191a","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Κύρνος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::65;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::71","PLACE","http://pleiades.stoa.org/places/472063","Corsica/Kyrnos (island)","-0550/-0330","42.103331615555554","9.200077440000001","island","VERIFIED","νῆσος","","",""
"43f06ddc-7786-4777-9c07-eddaac48b267","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Τυρρηνίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::85;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::94","PLACE","http://pleiades.stoa.org/places/413122","Etruria/Tuscia","-0750/0640","42.42102874792005","11.752744124826158","region","VERIFIED","","","",""
"5497cd90-7a12-4f84-b0fd-e9e37964c2bb","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Κύρνον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::107;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::113","PLACE","http://pleiades.stoa.org/places/472063","Corsica/Kyrnos (island)","-0550/-0330","42.103331615555554","9.200077440000001","island","VERIFIED","","","",""
"2949193d-5f4a-4c9e-81e5-8eb20eac3485","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Αἰθαλία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::183;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::190","PLACE","http://pleiades.stoa.org/places/403222","Ilva/Aethalia (island)|Ilva Ins./Aethalia Ins., Elba","-0030/2100","42.761833","10.240833","island","VERIFIED","νῆσος","","",""
"39e62e84-0225-4162-9e9c-f2f1a49bdc8a","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Κύρνου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::16;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::22","PLACE","http://pleiades.stoa.org/places/472063","Corsica/Kyrnos (island)","-0550/-0330","42.103331615555554","9.200077440000001","island","VERIFIED","νῆσος","","",""
"0796fbe3-1fe8-4be1-a947-811a0558b219","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Σαρδὼ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::33;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::38","PLACE","http://pleiades.stoa.org/places/472014","Sardinia (island)","-0750/2100","40.06802462263924","8.895951166868167","island","VERIFIED","νῆσος","","",""
"e61008d7-3ae1-4f14-8005-9e99aabb0081","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Σαρδοῦς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::106;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::113","PLACE","http://pleiades.stoa.org/places/472014","Sardinia (island)","-0750/2100","40.06802462263924","8.895951166868167","island","VERIFIED","","","",""
"45a3468d-06b7-4f6b-ab22-7279ac9cdf68","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Λιβύην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::121;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::127","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"c612d044-d2d3-465e-b6e5-e98e1f808641","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Σικελίαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::160;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::168","PLACE","http://pleiades.stoa.org/places/462492","Sicilia (island)","-0750/2100","37.53667611952188","14.08648464579389","island","VERIFIED","","","",""
"e079c34b-6b71-4600-977c-9e46c5f76ac9","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Σαρδοῦς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::173;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::180","PLACE","http://pleiades.stoa.org/places/472014","Sardinia (island)","-0750/2100","40.06802462263924","8.895951166868167","island","VERIFIED","","","",""
"921b33de-159e-48d4-a298-d01fd16b6ddb","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Κύρνον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::258;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[7]::264","PLACE","http://pleiades.stoa.org/places/472063","Corsica/Kyrnos (island)","-0550/-0330","42.103331615555554","9.200077440000001","island","VERIFIED","","","",""
"f5b0f52e-96fc-47b2-bb84-58bcf4d40e67","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Τυρρηνίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::11;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::20","PLACE","http://pleiades.stoa.org/places/413122","Etruria/Tuscia","-0750/0640","42.42102874792005","11.752744124826158","region","VERIFIED","","","",""
"382309d7-8791-4165-b95c-c3a04a18b5ce","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Λατῖνοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::29;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::36","PLACE","http://pleiades.stoa.org/places/432900","Latium","-0030/0300","41.7909","12.7621","region,people","VERIFIED","group|ethnic","","",""
"d69d45bd-9601-4631-be1f-ad4f0ad9f625","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Κιρκαίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::47;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::55","PLACE","http://pleiades.stoa.org/places/432781","Circeii 2|Kirkaion Akron/Veneris Pr.|Kirkaion Akron/Veneris Pr., Monte Circeo|Circeii, Rovine di Circe, Sabaudia","-0330/0640","41.2379462","13.0459251","mountain,settlement,port,cape","VERIFIED","","","",""
"e37e8ee8-2d3c-43f2-9d11-c669d105f912","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἐλπήνορος μνῆμά","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::68;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[8]::83","EVENT","","","","","","","","myth","object? place?","",""
